Rank,Title,Description,Runtime,Genre,Rating,Metascore,Votes,Gross_Earning,Director,Actor
1,Arrival,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,116,Drama,7.9,81,646114,100.5,Denis Villeneuve,Amy Adams
6,Nocturnal Animals,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",116,Drama,7.5,67,255822,10.64,Tom Ford,Amy Adams
19,Grave,"A young woman, studying to be a vet, develops a craving for human flesh.",99,Drama,7,81,69035,0.51,Julia Ducournau,Garance Marillier
20,Ah-ga-ssi,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",145,Drama,8.1,84,130357,2.01,Park Chan-Wook,Kim Min-hee
26,Me Before You,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,106,Drama,7.4,51,230321,56.25,Thea Sharrock,Emilia Clarke
31,Passengers,A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.,116,Drama,7,41,376104,100,Morten Tyldum,Jennifer Lawrence
56,Silence,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",161,Drama,7.2,79,106744,7.1,Martin Scorsese,Andrew Garfield
67,Below Her Mouth,An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,94,Drama,5.5,42,11561,NA,April Mullen,Erika Linder
78,Brimstone,"From the moment the new reverend climbs the pulpit, Liz knows she and her family are in great danger.",148,Drama,7.1,45,38951,NA,Martin Koolhoven,Guy Pearce
79,Lights Out,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.",81,Drama,6.3,58,123171,67.27,David F. Sandberg,Teresa Palmer
87,Mashina lyubvi,"Director Pavel Ruminov wanted to break up with his girlfriend. But she had a different opinion on the matter and refused to leave the flat, insisting their story was not over yet.",79,Drama,4.1,NA,426,NA,Pavel Ruminov,Natalya Anisimova
95,Collateral Beauty,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time, and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.",97,Drama,6.8,23,96679,31.02,David Frankel,Will Smith
99,Lady Macbeth,"In 19th-century rural England, a young bride who has been sold into marriage discovers an unstoppable desire within herself as she enters into an affair with a worker on her estate.",89,Drama,6.8,76,21954,1.13,William Oldroyd,Florence Pugh
36,Manchester by the Sea,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,137,Drama,7.8,96,263982,47.7,Kenneth Lonergan,Casey Affleck
37,Moonlight,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",111,Drama,7.4,99,290902,27.85,Barry Jenkins,Mahershala Ali
94,Miss Sloane,"In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price.",132,Drama,7.5,64,70366,3.44,John Madden,Jessica Chastain
22,Split,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,117,Horror,7.3,62,460113,138.2,M. Night Shyamalan,James McAvoy
28,Hush,A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.,82,Horror,6.6,67,119973,NA,Mike Flanagan,John Gallagher Jr.
35,The Conjuring 2,Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,134,Horror,7.3,65,252299,102.4,James Wan,Vera Farmiga
48,The Neon Demon,"An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister.",117,Horror,6.2,51,90342,1.33,Nicolas Winding Refn,Elle Fanning
54,Gokseong,"Soon after a stranger arrives in a little village, a mysterious sickness starts spreading. A policeman, drawn into the incident, is forced to solve the mystery in order to save his daughter.",156,Horror,7.5,81,61222,NA,Na Hong-jin,Jun Kunimura
62,The Autopsy of Jane Doe,"A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.",86,Horror,6.8,65,108600,NA,André Øvredal,Brian Cox
82,Terrifier,"On Halloween night, Tara Heyes finds herself as the obsession of a sadistic murderer known as Art the Clown.",82,Horror,5.7,NA,16598,NA,Damien Leone,Jenna Kanell
96,31,"Five carnival workers are kidnapped and held hostage in an abandoned, hellish compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns.",102,Horror,5.1,35,19894,0.78,Rob Zombie,Malcolm McDowell
